source,role_search,title,company,experience,salary,salary_min,salary_max,salary_avg,location,skills_raw,description,posted_date,company_rating,job_url,scraped_at,exp_years,salary_tier,role,level,city,work_mode,skills,skill_count,has_salary
Naukri,business analyst,Business Analyst,Dew Solutions,0-4 Yrs,,,,,Gurugram,Manager Quality Assurance | Business analysis | Consulting | Agile | E-governance | Business process mapping | Gap analysis | JIRA,,1 day ago,3.4,https://www.naukri.com/job-listings-business-analyst-dew-solutions-pvt-ltd-gurugram-0-to-4-years-030626502960,2026-06-04T16:01:31.919166,0.0,Not Disclosed,Business Analyst,Fresher/Junior,Gurugram,Onsite,[],0,0
Naukri,business analyst,Business Analyst,Celebal Technologies,5-7 Yrs,,,,,"Noida, Pune, Jaipur",Business Analytics | Documentation Skills | Data Mesh | Technical Documentation | Data Catalog | Visio | Modeling | Data Bricks,,1 day ago,3.0,https://www.naukri.com/job-listings-business-analyst-celebal-technologies-noida-pune-jaipur-5-to-7-years-030626032548,2026-06-04T16:01:31.919593,5.0,Not Disclosed,Business Analyst,Mid-Level,Pune,Onsite,[],0,0
Naukri,business analyst,Business Analyst,Accenture,1-4 Yrs,,,,,Bengaluru,project management | project implementation | business analysis | business requirement analysis | process mapping | data analysis | gap analysis | business solutions,,2 days ago,3.7,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-010626919099,2026-06-04T16:01:31.919984,1.0,Not Disclosed,Business Analyst,Fresher/Junior,Bangalore,Onsite,[],0,0
Naukri,business analyst,Business Analyst,Accenture,1-4 Yrs,,,,,Mumbai,project management | business solutions | business analysis | process mapping | duck creek | gap analysis | documentation | ATCI-5114907-S1898178,,1 week ago,3.7,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-mumbai-1-to-4-years-280526922504,2026-06-04T16:01:31.920372,1.0,Not Disclosed,Business Analyst,Fresher/Junior,Mumbai,Onsite,[],0,0
Naukri,business analyst,Business Analyst,CTD Techs,4-7 Yrs,,,,,Chennai,Rpa | Bdd | Business Analytics | Documentation | Presales | Sddc | Business analysis | Analytics,,2 days ago,4.1,https://www.naukri.com/job-listings-business-analyst-ctd-techs-chennai-4-to-7-years-020626017031,2026-06-04T16:01:31.920798,4.0,Not Disclosed,Business Analyst,Mid-Level,Chennai,Onsite,[],0,0
Naukri,business analyst,Business Analyst,Broadridge,0-2 Yrs,,,,,Hyderabad,Product management | Usage | Manager Quality Assurance | Business Analyst | Fixed income | Artificial Intelligence | Agile | product life cycle,,6 days ago,3.8,https://www.naukri.com/job-listings-business-analyst-broadridge-financial-solutions-india-pvt-ltd-hyderabad-0-to-2-years-290526500824,2026-06-04T16:01:31.921186,0.0,Not Disclosed,Business Analyst,Fresher/Junior,Hyderabad,Onsite,[],0,0
Naukri,business analyst,Business Analyst-Cybersecurity,Visionet Systems,0-4 Yrs,,,,,Bengaluru,project management | cyber security | business requirements | gap analysis | business analysis | uat | problem solving | user stories,,2 days ago,3.3,https://www.naukri.com/job-listings-business-analyst-cybersecurity-visionet-systems-inc-bengaluru-0-to-4-years-020626502481,2026-06-04T16:01:31.921580,0.0,Not Disclosed,Business Analyst,Fresher/Junior,Bangalore,Onsite,[],0,0
Naukri,business analyst,Business Analyst,A Reputed FinTech Company,4-9 Yrs,,,,,Mumbai (All Areas),Business Analytics | Power Bi | Fintech | Tableau | JIRA | Workflow System | Visio | Balsamiq,,2 days ago,,https://www.naukri.com/job-listings-business-analyst-max-hr-solutions-mumbai-all-areas-4-to-9-years-020626003966,2026-06-04T16:01:31.921987,4.0,Not Disclosed,Business Analyst,Mid-Level,Mumbai,Onsite,"['tableau', 'power bi']",2,0
Naukri,business analyst,Gen AI Business Analyst,Capgemini,4-9 Yrs,,,,,Kolkata,client engagement | order to cash | p2p | r2r | finance | project management | business analysis | business analytics,,3 days ago,3.6,https://www.naukri.com/job-listings-gen-ai-business-analyst-capgemini-technology-services-india-limited-kolkata-4-to-9-years-010626911949,2026-06-04T16:01:31.922384,4.0,Not Disclosed,Business Analyst,Mid-Level,Kolkata,Onsite,[],0,0
Naukri,power bi analyst,Power Bi Analyst- Largest Health care- Hyderabad,Apollo Health and Lifestyle (AHLL),2-6 Yrs,,,,,Hyderabad,Power Bi | Advanced Analytics | analyst | Analytics Reporting | Reporting | Large | Analytics | Healthcare,,3 weeks ago,4.3,https://www.naukri.com/job-listings-power-bi-analyst-largest-health-care-hyderabad-apollo-health-and-lifestyle-ahll-hyderabad-2-to-6-years-150426018630,2026-06-04T16:05:15.230971,2.0,Not Disclosed,BI Analyst,Fresher/Junior,Hyderabad,Onsite,['power bi'],1,0
Naukri,power bi analyst,Data Analyst - Power BI,Ecotech IT Solutions,5-10 Yrs,,,,,Pune,Power BI | Power Query | SQL | Data Visualization | DAX | Business Intelligence | Advanced Excel | M Query,,5 days ago,,https://www.naukri.com/job-listings-data-analyst-power-bi-fabric-pune-5-to-10-years-200426007998,2026-06-04T16:05:15.231486,5.0,Not Disclosed,BI Analyst,Mid-Level,Pune,Onsite,"['sql', 'excel', 'power bi']",3,0
Naukri,power bi analyst,"Senior Data Analyst - Power BI, SQL",Optum,3-8 Yrs,,,,,Gurugram,finance | sprint | ai | power bi | hr | user stories | user experience | business intelligence,,1 day ago,4.0,https://www.naukri.com/job-listings-senior-data-analyst-power-bi-sql-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-030626913682,2026-06-04T16:05:15.231881,3.0,Not Disclosed,BI Analyst,Senior,Gurugram,Onsite,['power bi'],1,0
Naukri,power bi analyst,Power Bi Developer / Power Bi Analyst,Gokaldas Exports,8-12 Yrs,,,,,Bengaluru,Power Bi Reports | power bi dashboards | dax calculations | KPI | Development | Birt | Calculation | Reporting,,2 weeks ago,3.9,https://www.naukri.com/job-listings-power-bi-developer-power-bi-analyst-gokaldas-exports-bengaluru-8-to-12-years-160526016784,2026-06-04T16:05:15.232271,8.0,Not Disclosed,BI Analyst,Senior,Bangalore,Onsite,['power bi'],1,0
Naukri,power bi analyst,Power BI Analyst / Consultant,Pcgi Systems,3-5 Yrs,,,,,Vadodara,Report generation | Data modeling | Information security | Disaster recovery | query | power bi | Data analytics | QlikView,,3+ weeks ago,4.0,https://www.naukri.com/job-listings-power-bi-analyst-consultant-pcgi-systems-vadodara-3-to-5-years-080823500315,2026-06-04T16:05:15.232661,3.0,Not Disclosed,BI Analyst,Mid-Level,Other,Onsite,['power bi'],1,0
